x0,y0,sigma,t,mass_classic,omega_max_classic,fidelity,L2_psi1,L2_psi2
-1.3173925320586193,0.4206546250233356,0.39269908169872414,1,1024.0,4.039335341999506,1.0000000000000004,1.0245450706181092,1.0245450706181094
-1.3173925320586193,0.4206546250233356,0.39269908169872414,2,1023.9999999999999,6.202934270937023,1.0,0.9937466896560544,0.9937466896560543
-1.3173925320586193,0.4206546250233356,0.39269908169872414,3,1024.0,6.115281735798866,1.0,0.9865184624194363,0.9865184624194361
-1.3173925320586193,0.4206546250233356,0.5235987755982988,1,1023.9999999999998,4.392106185465389,1.0000000000000004,1.0245450706181096,1.0245450706181092
-1.3173925320586193,0.4206546250233356,0.5235987755982988,2,1023.9999999999999,4.5141766812897455,1.0000000000000009,0.9937466896560545,0.9937466896560542
-1.3173925320586193,0.4206546250233356,0.5235987755982988,3,1024.0,4.287067125238327,1.0000000000000004,0.986518462419436,0.9865184624194357
-1.3173925320586193,0.4206546250233356,0.7853981633974483,1,1024.0,2.718249672308244,1.0000000000000009,1.0245450706181096,1.0245450706181094
-1.3173925320586193,0.4206546250233356,0.7853981633974483,2,1024.0,11.373286547248345,1.0000000000000004,0.9937466896560543,0.9937466896560545
-1.3173925320586193,0.4206546250233356,0.7853981633974483,3,1024.0,23.725016398603266,1.0000000000000004,0.9865184624194359,0.9865184624194355
1.4581566742439924,-2.325569806699282,0.39269908169872414,1,1024.0,3.2696852336494553,1.0000000000000004,1.0245450706181096,1.0245450706181096
1.4581566742439924,-2.325569806699282,0.39269908169872414,2,1024.0000000000002,4.716479234905669,0.9999999999999996,0.9937466896560541,0.9937466896560543
1.4581566742439924,-2.325569806699282,0.39269908169872414,3,1024.0,5.162541633364439,1.0000000000000004,0.9865184624194362,0.9865184624194362
1.4581566742439924,-2.325569806699282,0.5235987755982988,1,1023.9999999999998,3.6618716677524494,1.0000000000000004,1.0245450706181092,1.0245450706181092
1.4581566742439924,-2.325569806699282,0.5235987755982988,2,1023.9999999999999,2.902373994397184,1.0000000000000004,0.9937466896560543,0.9937466896560544
1.4581566742439924,-2.325569806699282,0.5235987755982988,3,1023.9999999999999,2.687826816536667,1.0,0.986518462419436,0.986518462419436
1.4581566742439924,-2.325569806699282,0.7853981633974483,1,1024.0,2.5566181822429,1.0000000000000013,1.0245450706181098,1.0245450706181096
1.4581566742439924,-2.325569806699282,0.7853981633974483,2,1024.0,12.319240819038185,1.0000000000000009,0.9937466896560544,0.9937466896560544
1.4581566742439924,-2.325569806699282,0.7853981633974483,3,1024.0,21.90792623345676,0.9999999999999998,0.9865184624194359,0.986518462419436
1.441139272326414,0.9337099015226098,0.39269908169872414,1,1024.0,3.584939447852009,1.0000000000000004,1.0245450706181094,1.0245450706181092
1.441139272326414,0.9337099015226098,0.39269908169872414,2,1024.0000000000002,5.072248609128455,1.0,0.9937466896560542,0.9937466896560543
1.441139272326414,0.9337099015226098,0.39269908169872414,3,1024.0000000000002,4.763803634544011,1.0,0.9865184624194356,0.986518462419436
1.441139272326414,0.9337099015226098,0.5235987755982988,1,1024.0000000000002,4.063646830380687,1.0000000000000009,1.0245450706181094,1.0245450706181094
1.441139272326414,0.9337099015226098,0.5235987755982988,2,1024.0000000000002,3.522772750232396,0.9999999999999998,0.9937466896560541,0.9937466896560545
1.441139272326414,0.9337099015226098,0.5235987755982988,3,1024.0,3.1918938440436255,1.0000000000000004,0.9865184624194355,0.9865184624194357
1.441139272326414,0.9337099015226098,0.7853981633974483,1,1024.0,2.9194854376884303,1.0000000000000004,1.0245450706181098,1.0245450706181094
1.441139272326414,0.9337099015226098,0.7853981633974483,2,1024.0,10.986592897905698,1.0000000000000004,0.9937466896560542,0.9937466896560542
1.441139272326414,0.9337099015226098,0.7853981633974483,3,1024.0,23.15283896153848,1.0000000000000013,0.986518462419436,0.986518462419436
-0.7528017055827612,-1.6235146086035819,0.39269908169872414,1,1024.0,3.9491644465010953,1.0,1.0245450706181096,1.0245450706181092
-0.7528017055827612,-1.6235146086035819,0.39269908169872414,2,1024.0,6.255817678536855,1.0000000000000004,0.993746689656054,0.9937466896560543
-0.7528017055827612,-1.6235146086035819,0.39269908169872414,3,1024.0,6.0472624907792865,1.0,0.9865184624194359,0.9865184624194357
-0.7528017055827612,-1.6235146086035819,0.5235987755982988,1,1023.9999999999999,4.565790921621176,1.0000000000000004,1.0245450706181092,1.0245450706181096
-0.7528017055827612,-1.6235146086035819,0.5235987755982988,2,1023.9999999999998,4.843039210001204,1.0000000000000004,0.9937466896560542,0.9937466896560544
-0.7528017055827612,-1.6235146086035819,0.5235987755982988,3,1024.0,4.324374733207244,1.0000000000000004,0.9865184624194357,0.9865184624194359
-0.7528017055827612,-1.6235146086035819,0.7853981633974483,1,1023.9999999999999,2.69732220653375,1.0,1.0245450706181094,1.0245450706181096
-0.7528017055827612,-1.6235146086035819,0.7853981633974483,2,1024.0,11.589235025332556,1.0000000000000009,0.9937466896560544,0.9937466896560545
-0.7528017055827612,-1.6235146086035819,0.7853981633974483,3,1024.0,24.132067684594617,1.0000000000000004,0.9865184624194357,0.9865184624194357
